,explicit_line,explicit_phrase,explicit_label
0,look i was gonna go easy on you not to hurt your feelings,[],0
1,but i'm only going to get this one chance,[],0
2,six minutes six minutes,[],0
4,something's wrong i can feel it,[],0
5,six minutes slim shady you're on,[],0
7,just a feeling i've got like something's about to happen but i don't know what,[],0
8,if that means what i think it means we're in trouble big trouble,[],0
9,and if he is as bananas as you say i'm not taking any chances,[],0
10,you are just what the doc ordered,[],0
11,i'm beginning to feel like a rap god rap god,[],0
12,all my people from the front to the back nod back nod,[],0
13,now who thinks their arms are long enough to slap box slap box,[],0
14,they said i rap like a robot so call me rapbot,[],0
15,but for me to rap like a computer it must be in my genes,[],0
16,i got a laptop in my back pocket,[],0
17,my pen'll go off when i halfcock it,[],0
18,got a fat knot from that rap profit,[],0
19,made a living and a killing off it,['killing'],1
20,ever since bill clinton was still in office,[],0
21,with monica lewinsky feeling on his nutsack,['nutsack'],1
22,i'm an mc still as honest,[],0
23,but as rude and as indecent as all hell,[],0
24,syllables skillaholic,[],0
25,kill 'em all with,"[""'em"", 'kill', 'all']",1
27,this flippity dippityhippity hiphop,[],0
28,you don't really wanna get into a pissing match,[],0
29,with this rappity brat packing a mac in the back of the ac',[],0
30,backpack rap crap yapyap yacketyyack,[],0
31,and at the exact same time i attempt these lyrical acrobat stunts while i'm practicing that,[],0
32,i'll still be able to break a motherfucking table,['motherfucking'],1
33,over the back of a couple of faggots and crack it in half,['faggots'],1
34,only realized it was ironic i was signed to aftermath after the fact,[],0
35,how could i not blow all i do is drop fbombs,[],0
36,feel my wrath of attack,[],0
37,rappers are having a rough time period here's a maxi pad,[],0
38,it's actually disastrously bad for the wack,[],0
39,while i'm masterfully constructing this masterpièce,[],0
40,'cause i'm beginning to feel like a rap god rap god,[],0
43,let me show you maintaining this shit ain't that hard that hard,['shit'],1
44,everybody want the key and the secret to rap immortality like i have got,[],0
45,well to be truthful the blueprint's,[],0
46,simply rage and youthful exuberance,[],0
47,everybody loves to root for a nuisance,[],0
48,hit the earth like an asteroid,[],0
49,did nothing but shoot for the moon since pew,[],0
50,mcs get taken to school with this music,[],0
51,'cause i use it as a vehicle to bus the rhyme,[],0
52,now i lead a new school full of students,[],0
53,me i'm a product of rakim,[],0
