,word,start,end,prob,curse
0,then,2.799999999999998,3.3,0.07937642931938171,0
1,working,3.3,3.66,0.6206923723220825,0
2,way,3.66,3.94,0.6571445465087891,0
3,too,3.94,4.14,0.8994314074516296,0
4,much,4.14,4.36,0.9364075064659119,0
5,need,4.36,4.58,0.6836024522781372,0
6,to,4.58,4.76,0.9964849948883057,0
7,get,4.76,4.98,0.9903964996337891,0
8,out,4.98,5.22,0.9963017702102661,0
9,and,5.22,5.38,0.9910920262336731,0
10,get,5.38,5.58,0.9932408332824707,0
11,fucked,5.58,5.82,0.9281094670295715,1
12,up,5.82,6.08,0.9976951479911804,0
13,whats,6.08,6.34,0.7508630752563477,0
14,going,6.34,6.58,0.9789830446243286,0
15,on,6.58,6.98,0.9468555450439453,0
16,wheres,6.98,7.48,0.35140687599778175,0
17,it,7.48,7.56,0.605744481086731,0
18,at,7.56,7.84,0.9313996434211731,0
19,make,7.84,8.18,0.6310204267501831,0
20,some,8.18,8.36,0.9839423298835754,0
21,calls,8.36,8.66,0.9869059920310974,0
22,to,8.66,8.84,0.9697936177253723,0
23,make,8.84,9.02,0.9246991276741028,0
24,it,9.02,9.18,0.647895872592926,0
25,crack,9.18,9.46,0.911074161529541,0
26,lets,9.46,9.92,0.5205083284527063,0
27,see,9.92,10.12,0.9550944566726685,0
28,i,10.12,10.66,0.6847387552261353,0
29,need,10.66,10.86,0.9301260709762573,0
30,money,10.86,11.2,0.9944334626197815,0
31,drugs,11.2,11.5,0.8168082237243652,0
32,and,11.5,11.78,0.4025256633758545,0
33,riders,11.78,12.06,0.23249295353889465,0
34,fought,12.06,12.38,0.5236332416534424,0
35,with,12.38,12.58,0.9751766324043274,0
36,hot,12.58,12.78,0.963080108165741,0
37,ones,12.78,13.02,0.45958197116851807,0
38,and,13.02,13.3,0.46194443106651306,0
39,suck,13.3,13.66,0.4905366897583008,0
40,the,13.66,14.26,0.7022561430931091,0
41,mission,14.26,14.78,0.9452971816062927,0
42,to,14.78,15.74,0.5977258086204529,0
43,get,15.74,15.86,0.816019594669342,0
44,all,15.86,16.14,0.9713311195373535,0
45,of,16.14,16.36,0.9048437476158142,0
46,the,16.36,16.58,0.7210023999214172,0
47,applause,16.58,17.08,0.00017352892609778792,0
48,in,17.08,17.34,0.3786068856716156,0
49,a,17.34,17.54,0.6192249655723572,0
50,limited,17.54,17.88,0.9087811708450317,0
51,amount,17.88,18.2,0.9792071580886841,0
52,of,18.2,18.44,0.9927996397018433,0
53,time,18.44,18.8,0.9899654388427734,0
54,i,18.8,19.0,0.6708391904830933,0
55,can,19.0,19.18,0.9761030077934265,0
56,do,19.18,19.4,0.9878831505775452,0
57,this,19.4,19.64,0.9831220507621765,0
58,and,19.64,19.86,0.507570207118988,0
59,its,19.86,20.18,0.9801589548587799,0
60,done,20.18,20.42,0.9427457451820374,0
61,like,20.42,20.9,0.8752855658531189,0
62,that,20.9,21.16,0.9701200723648071,0
63,were,21.16,21.36,0.7792951166629791,0
64,on,21.36,21.6,0.9781674146652222,0
65,our,21.6,21.8,0.9884514808654785,0
66,way,21.8,22.22,0.9966482520103455,0
67,fear,22.22,22.56,0.3023190200328827,0
68,thats,22.56,22.94,0.7315683364868164,0
69,it,22.94,23.04,0.8950022459030151,0
70,on,23.04,23.26,0.5795716643333435,0
71,the,23.26,23.4,0.9234107732772827,0
72,tongue,23.4,23.84,0.8595144152641296,0
73,cocaine,23.84,24.34,0.7568235993385315,0
74,in,24.34,24.82,0.07589688897132874,0
75,your,24.82,25.04,0.9080814719200134,0
76,brain,25.04,25.48,0.9810901284217834,0
77,or,25.48,25.7,0.46507665514945984,0
78,some,25.7,25.96,0.9541444182395935,0
79,weed,25.96,26.14,0.74787437915802,0
80,that,26.14,26.34,0.8675459623336792,0
81,hits,26.34,26.52,0.9452183842658997,0
82,your,26.52,26.72,0.9518957734107971,0
83,lungs,26.72,27.12,0.980920672416687,0
84,like,27.12,27.36,0.9039621949195862,0
85,a,27.36,27.64,0.9657919406890869,0
86,run,27.64,27.82,0.4795050323009491,0
87,away,27.82,28.28,0.5061672329902649,0
88,train,28.28,28.84,0.922638475894928,0
89,hell,28.84,29.2,0.7132588624954224,0
90,yeah,29.2,29.58,0.9139540791511536,0
91,from,29.58,30.02,0.25309863686561584,0
92,dmt,30.02,30.96,0.9496431052684784,0
93,to,30.96,31.74,0.9368537068367004,0
94,mdma,31.74,32.54,0.9623620510101318,0
95,got,32.54,33.38,0.5669548511505127,0
96,all,33.38,33.66,0.9928351044654846,0
97,this,33.66,33.82,0.7594602704048157,0
98,shit,33.82,34.02,0.8045638799667358,1
99,in,34.02,34.28,0.5275669693946838,0
100,more,34.28,34.4,0.10368500649929047,0
101,so,34.4,34.6,0.637184202671051,0
102,till,34.6,34.88,0.5082895755767822,0
103,dawn,34.88,35.2,0.8840656280517578,0
104,were,35.2,35.54,0.8933061361312866,0
105,okay,35.54,35.98,0.8161129355430603,0
106,but,35.98,36.36,0.9048091769218445,0
107,anyway,36.36,36.96,0.9630102515220642,0
108,fuck,39.46,40.02,0.10889779031276703,1
109,a,40.02,40.3,0.7133051753044128,0
110,line,40.3,40.48,0.9007031917572021,0
111,every,40.48,40.84,0.968539834022522,0
112,time,40.84,41.18,0.8971255421638489,0
113,get,41.18,41.36,0.5231601595878601,0
114,in,41.36,41.5,0.955522894859314,0
115,get,41.5,41.62,0.8754420280456543,0
116,a,41.62,41.76,0.9963531494140625,0
117,drink,41.76,41.96,0.9984094500541687,0
118,and,41.96,42.18,0.8169854283332825,0
119,lose,42.18,42.34,0.968009889125824,0
120,some,42.34,42.64,0.4945325255393982,0
121,lines,42.64,43.0,0.3357342779636383,0
122,all,43.0,43.38,0.9234336614608765,0
123,eyes,43.38,43.78,0.9866496920585632,0
124,on,43.78,44.08,0.987485945224762,0
125,the,44.08,44.24,0.8971500992774963,0
126,dime,44.24,44.5,0.9844533801078796,0
127,that,44.5,44.72,0.9898759722709656,0
128,makes,44.72,44.92,0.9949609041213989,0
129,your,44.92,45.16,0.9673974514007568,0
130,dick,45.16,45.42,0.9873195886611938,0
131,wanna,45.42,45.8,0.8457615971565247,0
132,grind,45.8,46.34,0.9865233302116394,0
133,no,46.34,46.7,0.7426710724830627,0
134,you,46.7,46.86,0.9807989597320557,0
135,got,46.86,47.08,0.5703009963035583,0
136,a,47.08,47.2,0.5934616923332214,0
137,good,47.2,47.36,0.936870813369751,0
138,bus,47.36,47.56,0.41775617003440857,0
139,going,47.56,48.0,0.8468642830848694,0
140,cause,48.0,48.4,0.5404009819030762,0
141,everything,48.4,48.92,0.9825325012207031,0
142,is,48.92,49.2,0.9919716119766235,0
143,glowing,49.2,49.54,0.9470610022544861,0
144,skirts,49.54,49.86,0.9776188135147095,0
145,are,49.86,50.06,0.5579151511192322,0
146,sort,50.06,50.26,0.0010204203426837921,0
147,of,50.26,50.5,0.29533326625823975,0
148,acid,50.5,50.88,0.5357743501663208,0
149,showing,50.88,51.28,0.6925692558288574,0
150,and,51.28,51.68,0.5515544414520264,0
151,shes,51.68,51.96,0.968318909406662,0
152,looking,51.96,52.18,0.9661151766777039,0
153,so,52.18,52.44,0.9014763832092285,0
154,you,52.44,52.64,0.9012168049812317,0
155,know,52.64,52.86,0.7494422197341919,0
156,when,52.86,53.0,0.5462164282798767,0
157,you,53.0,53.16,0.9956794381141663,0
158,could,53.16,53.36,0.52445387840271,0
159,get,53.36,53.62,0.6735450625419617,0
160,it,53.62,53.82,0.854135274887085,0
161,to,53.82,54.0,0.39177820086479187,0
162,nuts,54.0,54.36,0.9116123914718628,0
163,but,54.36,54.8,0.7044367790222168,0
164,theres,54.8,55.08,0.8894079923629761,0
165,so,55.08,55.24,0.9060474634170532,0
166,much,55.24,55.48,0.9980290532112122,0
167,arrest,55.48,55.9,0.19500398635864258,0
168,lets,55.9,56.34,0.8991291224956512,0
169,take,56.34,56.5,0.9605153799057007,0
170,your,56.5,56.66,0.9849290251731873,0
171,time,56.66,56.94,0.9990525841712952,0
172,do,56.94,57.14,0.7800079584121704,0
173,it,57.14,57.32,0.9962614178657532,0
174,right,57.32,57.8,0.9907357096672058,0
175,as,57.8,59.86,0.73255455493927,0
176,you,59.86,60.06,0.9922313690185547,0
177,keep,60.06,60.38,0.9446049928665161,0
178,getting,60.38,60.84,0.997605562210083,0
179,higher,60.84,61.32,0.9529880881309509,0
180,lights,61.32,61.7,0.6921626329421997,0
181,look,61.7,61.9,0.9590126276016235,0
182,like,61.9,62.12,0.9975413084030151,0
183,theyre,62.12,62.4,0.9798378646373749,0
184,on,62.4,62.54,0.9988389611244202,0
185,fire,62.54,63.0,0.9996449947357178,0
186,soon,63.0,63.4,0.9647684693336487,0
187,all,63.4,63.62,0.9598203301429749,0
188,this,63.62,63.78,0.25524625182151794,0
189,left,63.78,64.04,0.9456392526626587,0
190,of,64.04,64.26,0.9968861937522888,0
191,you,64.26,64.46,0.9976524710655212,0
192,is,64.46,64.84,0.9959718585014343,0
193,your,64.84,65.02,0.9828401803970337,0
194,most,65.02,65.28,0.9980168342590332,0
195,primal,65.28,65.56,0.3377704620361328,0
196,desire,65.56,66.24,0.9293464422225952,0
197,ask,66.24,67.14,0.22094832360744476,0
198,clapping,67.14,67.72,0.8542695343494415,0
199,dick,67.72,68.32,0.5358668565750122,0
200,suckin,68.32,69.18,0.49197404086589813,0
201,lock,69.18,69.4,0.8528931736946106,0
202,the,69.4,69.64,0.9967718720436096,0
203,door,69.64,69.96,0.9982048273086548,0
204,to,69.96,70.24,0.9984779953956604,0
205,the,70.24,70.54,0.9989922642707825,0
206,bathroom,70.54,71.14,0.9976056814193726,0
207,quick,71.14,71.62,0.9901870489120483,0
208,fuckin,71.62,72.48,0.30919911712408066,1
209,find,72.48,72.78,0.9555342197418213,0
210,a,72.78,72.98,0.7577241659164429,0
211,whore,72.98,73.14,0.5255950689315796,0
212,and,73.14,73.4,0.8805075883865356,0
213,it,73.4,73.56,0.7059735059738159,0
214,can,73.56,73.78,0.9404131770133972,0
215,happen,73.78,74.28,0.9744453430175781,0
216,but,74.28,74.86,0.9711355566978455,0
217,its,74.86,75.16,0.9949630796909332,0
218,nothing,75.16,75.7,0.971796989440918,0
219,cause,75.7,76.06,0.4167790114879608,0
220,youre,76.06,76.4,0.962909072637558,0
221,drunk,76.4,76.52,0.9918925762176514,0
222,and,76.52,76.74,0.990801990032196,0
223,ill,76.74,76.94,0.5257991794496775,0
224,be,76.94,77.08,0.9983654618263245,0
225,blacking,77.08,77.56,0.8353367149829865,0
226,out,77.56,77.76,0.9969749450683594,0
227,before,77.76,78.1,0.9977066516876221,0
228,you,78.1,78.36,0.9987456798553467,0
229,even,78.36,78.74,0.9987727999687195,0
230,get,78.74,79.02,0.999040424823761,0
231,a,79.02,79.2,0.9973737001419067,0
232,chance,79.2,79.44,0.9986718893051147,0
233,to,79.44,79.64,0.9955496788024902,0
