,word,start,end,prob,curse
0,burn,0.0,0.46,0.9301518797874451,0
1,through,0.46,0.72,0.9157696962356567,0
2,it,0.72,0.88,0.9992886781692505,0
3,burn,0.98,1.24,0.9954594969749451,0
4,through,1.24,1.5,0.9997729659080505,0
5,it,1.5,1.76,0.9999558925628662,0
6,im,2.26,2.78,0.9989747703075409,0
7,not,2.78,2.96,0.9969267249107361,0
8,taking,2.96,3.28,0.9514864683151245,0
9,turns,3.28,3.82,0.9990047812461853,0
10,to,3.82,3.98,0.9676450490951538,0
11,it,3.98,4.12,0.9995660185813904,0
12,turns,4.28,4.58,0.9920176267623901,0
13,to,4.58,4.82,0.9997665286064148,0
14,it,4.82,5.0,0.999988317489624,0
15,you,5.680000000000001,6.2,0.9991408586502075,0
16,know,6.2,6.42,0.9998754262924194,0
17,we,6.42,6.6,0.9894682765007019,0
18,burn,6.6,7.0,0.899239718914032,0
19,through,7.0,7.26,0.9988481998443604,0
20,it,7.26,7.42,0.9999654293060303,0
21,burn,7.5,7.78,0.9990540146827698,0
22,through,7.78,8.06,0.9998117089271545,0
23,it,8.06,8.28,0.9999790191650391,0
24,we,8.8,9.3,0.9995444416999817,0
25,aint,9.3,9.54,0.999195396900177,0
26,taking,9.54,9.84,0.9950183629989624,0
27,turns,9.84,10.34,0.9994439482688904,0
28,to,10.34,10.54,0.9806021451950073,0
29,it,10.54,10.72,0.999788224697113,0
30,turns,10.72,11.08,0.9981766939163208,0
31,to,11.08,11.32,0.9997081160545349,0
32,it,11.32,11.52,0.9999700784683228,0
33,coughing,32.62,33.18,0.6463546901941299,0
34,up,33.18,33.32,0.8520370125770569,0
35,a,33.32,33.44,0.9668872952461243,0
36,siren,33.44,33.82,0.8419608473777771,0
37,im,34.48,34.72,0.8453157246112823,0
38,firing,34.72,35.14,0.9334972500801086,0
39,crocodile,36.36,36.92,0.8975106080373129,0
40,lips,37.62,37.8,0.9386493563652039,0
41,off,37.8,38.04,0.9772984385490417,0
42,your,38.04,38.18,0.8981156945228577,0
43,smile,38.18,38.72,0.9942792654037476,0
44,quit,39.38,39.64,0.9673027396202087,0
45,that,39.64,39.9,0.9291170835494995,0
46,bitch,39.9,40.14,0.9497760534286499,1
47,it,40.16,40.24,0.9442067742347717,0
48,looks,40.24,40.46,0.9490141868591309,0
49,suspicious,40.46,41.08,0.9984272718429565,0
50,who,42.64,42.92,0.5709564685821533,0
51,thats,42.92,43.14,0.5315755903720856,0
52,good,43.14,43.28,0.5466114282608032,0
53,it,43.32,43.4,0.9207740426063538,0
54,aint,43.4,43.52,0.9957298040390015,0
