word,start,end,prob,explicit,conflictual,profanity,drugs,sex,selfharm,spam,not-sensitive
damn,0.0,0.74,0.5364208221435547,0,0.008176633156836033,0.01173391193151474,0.00626782001927495,0.0048911189660429955,0.006277034059166908,0.004418145399540663,0.9672802090644836
oh,0.74,2.0,0.62718266248703,0,0.006517878733575344,0.01597830466926098,0.007734148297458887,0.005913546308875084,0.005315410904586315,0.003925238735973835,0.9574845433235168
yeah,4.04,5.04,0.7553573250770569,0,0.005360898096114397,0.018523473292589188,0.009391906671226025,0.004880783148109913,0.005868700798600912,0.0036701492499560118,0.9442334771156311
it,5.06,5.6,0.9884049892425536,0,0.007784266024827957,0.012292863801121712,0.007782320957630873,0.0048122708685696125,0.0069908867590129375,0.0035759382881224155,0.9660068154335022
aint,5.6,5.78,0.9986225664615632,0,0.0067110019735991955,0.010187972337007523,0.007029879838228226,0.004720927216112614,0.008580668829381466,0.004377309232950211,0.9708139300346375
over,5.78,6.02,0.9668316841125488,0,0.057704757899045944,0.9902594685554504,0.012920765206217766,0.010005306452512741,0.009953808970749378,0.008846916258335114,0.01141493208706379
motherfuckers,6.02,7.28,0.9784832000732422,1,0.04968670383095741,0.9899555444717407,0.013629358261823654,0.009904570877552032,0.010068424977362156,0.007850279100239277,0.012125182896852493
the,7.28,8.14,0.9514062404632568,0,0.08143296837806702,0.992455005645752,0.012707658112049103,0.01472097635269165,0.010196001268923283,0.008909919299185276,0.009418163448572159
motherfucking,8.14,8.82,0.8761884172757467,1,0.05616758391261101,0.9908128380775452,0.013296082615852356,0.0110460901632905,0.008706880733370781,0.00848713330924511,0.011236515827476978
saga,8.82,9.18,0.7792489528656006,0,0.045631226152181625,0.9900197982788086,0.012890161946415901,0.009367206133902073,0.009256890043616295,0.008010254241526127,0.012369026429951191
continues,9.18,10.2,0.7071685194969177,0,0.07004129141569138,0.9916484355926514,0.011227650567889214,0.011051878333091736,0.008602524176239967,0.008283169008791447,0.011102142743766308
now,22.22,23.22,0.1729939132928848,0,0.009662785567343235,0.006885515060275793,0.006764914374798536,0.005176311358809471,0.0072533502243459225,0.0061828382313251495,0.9792366027832031
since,23.22,23.72,0.2278836071491241,0,0.007876441814005375,0.005755226593464613,0.00684728566557169,0.005930577404797077,0.008811854757368565,0.0063980016857385635,0.9788675308227539
he,23.72,23.88,0.6133238077163696,0,0.008826442994177341,0.007999125868082047,0.006712095346301794,0.006074867211282253,0.00689377635717392,0.005407259333878756,0.9756268262863159
stepped,23.88,24.26,0.8181660771369934,0,0.008288105949759483,0.006744456477463245,0.007765526883304119,0.006241386290639639,0.006912942510098219,0.005870957393199205,0.9801106452941895
