words,start,end,transcript,WER,filename
to get you into my world,74.871,78.053,"[{'word': 'to', 'start': 0.0, 'end': 0.177}, {'word': 'get', 'start': 0.354, 'end': 0.531}, {'word': 'you', 'start': 0.707, 'end': 0.884}, {'word': 'into', 'start': 1.061, 'end': 1.591}, {'word': 'my', 'start': 1.768, 'end': 1.945}, {'word': 'world', 'start': 2.121, 'end': 3.182}]",0.0,001940b614eb43f4a0c826d49a67d66d-14.wav
they planned it all at the start,115.875,119.057,"[{'word': 'they', 'start': 0.0, 'end': 0.177}, {'word': 'planned', 'start': 0.354, 'end': 0.53}, {'word': 'it', 'start': 0.707, 'end': 0.884}, {'word': 'all', 'start': 1.061, 'end': 1.237}, {'word': 'at', 'start': 1.414, 'end': 1.591}, {'word': 'the', 'start': 1.768, 'end': 1.944}, {'word': 'start', 'start': 2.121, 'end': 3.182}]",0.0,001940b614eb43f4a0c826d49a67d66d-22.wav
i am a woman in love,149.986,152.991,"[{'word': 'i', 'start': 0.0, 'end': 0.177}, {'word': 'am', 'start': 0.177, 'end': 0.354}, {'word': 'a', 'start': 0.53, 'end': 0.707}, {'word': 'woman', 'start': 0.884, 'end': 1.591}, {'word': 'in', 'start': 1.591, 'end': 1.768}, {'word': 'love', 'start': 1.944, 'end': 3.005}]",0.0,001940b614eb43f4a0c826d49a67d66d-31.wav
to get you into my world,155.465,158.47,"[{'word': 'to', 'start': 0.0, 'end': 0.177}, {'word': 'get', 'start': 0.354, 'end': 0.53}, {'word': 'you', 'start': 0.707, 'end': 0.884}, {'word': 'into', 'start': 1.061, 'end': 1.768}, {'word': 'my', 'start': 1.768, 'end': 1.944}, {'word': 'world', 'start': 2.121, 'end': 3.005}]",0.0,001940b614eb43f4a0c826d49a67d66d-33.wav
to get you into my world,213.436,216.618,"[{'word': 'to', 'start': 0.0, 'end': 0.177}, {'word': 'get', 'start': 0.354, 'end': 0.53}, {'word': 'you', 'start': 0.707, 'end': 0.884}, {'word': 'into', 'start': 1.061, 'end': 1.591}, {'word': 'my', 'start': 1.768, 'end': 1.944}, {'word': 'world', 'start': 2.121, 'end': 3.182}]",0.0,001940b614eb43f4a0c826d49a67d66d-46.wav
for the broken hearted,6.37,8.625,"[{'word': 'for', 'start': 0.0, 'end': 0.205}, {'word': 'the', 'start': 0.205, 'end': 0.308}, {'word': 'broken', 'start': 0.513, 'end': 1.332}, {'word': 'hearted', 'start': 1.332, 'end': 2.255}]",0.0,0056b60ad09c4f389d107868e2d5c149-1.wav
no silent prayer,11.904,13.339,"[{'word': 'no', 'start': 0.0, 'end': 0.205}, {'word': 'silent', 'start': 0.205, 'end': 0.717}, {'word': 'prayer', 'start': 0.82, 'end': 1.435}]",0.0,0056b60ad09c4f389d107868e2d5c149-2.wav
for the faith departed,13.441,15.696,"[{'word': 'for', 'start': 0.0, 'end': 0.205}, {'word': 'the', 'start': 0.205, 'end': 0.41}, {'word': 'faith', 'start': 0.41, 'end': 0.82}, {'word': 'departed', 'start': 0.923, 'end': 2.255}]",0.0,0056b60ad09c4f389d107868e2d5c149-3.wav
headed out with no direction,25.304,28.478,"[{'word': 'headed', 'start': 0.0, 'end': 0.346}, {'word': 'out', 'start': 0.462, 'end': 0.635}, {'word': 'with', 'start': 0.693, 'end': 0.808}, {'word': 'no', 'start': 0.923, 'end': 1.212}, {'word': 'direction', 'start': 1.385, 'end': 3.174}]",0.0,007c0152242340008ff45781a9b08546-3.wav
to burn into my heart,37.998,39.672,"[{'word': 'to', 'start': 0.0, 'end': 0.116}, {'word': 'burn', 'start': 0.231, 'end': 0.404}, {'word': 'into', 'start': 0.462, 'end': 0.866}, {'word': 'my', 'start': 0.924, 'end': 1.039}, {'word': 'heart', 'start': 1.154, 'end': 1.674}]",0.0,007c0152242340008ff45781a9b08546-6.wav
set me free,50.231,51.443,"[{'word': 'set', 'start': 0.0, 'end': 0.289}, {'word': 'me', 'start': 0.462, 'end': 0.75}, {'word': 'free', 'start': 0.923, 'end': 1.212}]",0.0,007c0152242340008ff45781a9b08546-12.wav
melt with,63.156,64.368,"[{'word': 'melt', 'start': 0.0, 'end': 0.75}, {'word': 'with', 'start': 0.923, 'end': 1.212}]",0.0,007c0152242340008ff45781a9b08546-17.wav
i look into your sunset eyes,74.927,78.101,"[{'word': 'i', 'start': 0.0, 'end': 0.116}, {'word': 'look', 'start': 0.231, 'end': 0.404}, {'word': 'into', 'start': 0.462, 'end': 0.866}, {'word': 'your', 'start': 0.923, 'end': 1.039}, {'word': 'sunset', 'start': 1.154, 'end': 1.904}, {'word': 'eyes', 'start': 2.077, 'end': 3.174}]",0.0,007c0152242340008ff45781a9b08546-21.wav
this love is so completely crazy,84.159,87.564,"[{'word': 'this', 'start': 0.0, 'end': 0.116}, {'word': 'love', 'start': 0.231, 'end': 0.404}, {'word': 'is', 'start': 0.462, 'end': 0.577}, {'word': 'so', 'start': 0.693, 'end': 0.866}, {'word': 'completely', 'start': 0.924, 'end': 1.905}, {'word': 'crazy', 'start': 2.078, 'end': 3.405}]",0.0,007c0152242340008ff45781a9b08546-24.wav
set me free,109.317,110.529,"[{'word': 'set', 'start': 0.0, 'end': 0.289}, {'word': 'me', 'start': 0.462, 'end': 0.75}, {'word': 'free', 'start': 0.923, 'end': 1.212}]",0.0,007c0152242340008ff45781a9b08546-33.wav
melt with,122.242,123.454,"[{'word': 'melt', 'start': 0.0, 'end': 0.75}, {'word': 'with', 'start': 0.923, 'end': 1.212}]",0.0,007c0152242340008ff45781a9b08546-38.wav
you can set my world on fire,160.094,162.691,"[{'word': 'you', 'start': 0.0, 'end': 0.173}, {'word': 'can', 'start': 0.231, 'end': 0.346}, {'word': 'set', 'start': 0.462, 'end': 0.635}, {'word': 'my', 'start': 0.693, 'end': 0.808}, {'word': 'world', 'start': 0.923, 'end': 1.327}, {'word': 'on', 'start': 1.385, 'end': 1.558}, {'word': 'fire', 'start': 1.847, 'end': 2.597}]",0.0,007c0152242340008ff45781a9b08546-51.wav
set me free,168.403,169.615,"[{'word': 'set', 'start': 0.0, 'end': 0.289}, {'word': 'me', 'start': 0.462, 'end': 0.75}, {'word': 'free', 'start': 0.923, 'end': 1.212}]",0.0,007c0152242340008ff45781a9b08546-55.wav
melt in,181.328,182.771,"[{'word': 'melt', 'start': 0.0, 'end': 0.75}, {'word': 'in', 'start': 0.923, 'end': 1.443}]",0.0,007c0152242340008ff45781a9b08546-60.wav
making our way back from mars,43.583,47.309,"[{'word': 'making', 'start': 0.0, 'end': 0.373}, {'word': 'our', 'start': 0.621, 'end': 0.869}, {'word': 'way', 'start': 0.994, 'end': 1.614}, {'word': 'back', 'start': 1.863, 'end': 2.111}, {'word': 'from', 'start': 2.36, 'end': 2.608}, {'word': 'mars', 'start': 2.732, 'end': 3.726}]",0.0,0091064bdc72469ca7096d3a0db74562-6.wav
time to buy and time to lose,53.393,57.119,"[{'word': 'time', 'start': 0.0, 'end': 0.746}, {'word': 'to', 'start': 0.87, 'end': 1.118}, {'word': 'buy', 'start': 1.366, 'end': 1.615}, {'word': 'and', 'start': 1.863, 'end': 2.112}, {'word': 'time', 'start': 2.236, 'end': 2.484}, {'word': 'to', 'start': 2.732, 'end': 2.857}, {'word': 'lose', 'start': 2.981, 'end': 3.726}]",0.0,0091064bdc72469ca7096d3a0db74562-8.wav
chasing the years of my life,103.563,107.289,"[{'word': 'chasing', 'start': 0.0, 'end': 0.373}, {'word': 'the', 'start': 0.497, 'end': 0.621}, {'word': 'years', 'start': 0.745, 'end': 1.615}, {'word': 'of', 'start': 1.739, 'end': 2.111}, {'word': 'my', 'start': 2.235, 'end': 2.608}, {'word': 'life', 'start': 2.732, 'end': 3.726}]",0.0,0091064bdc72469ca7096d3a0db74562-17.wav
time to buy and time to lose yourself within a morning star,113.125,120.949,"[{'word': 'time', 'start': 0.0, 'end': 0.745}, {'word': 'to', 'start': 0.87, 'end': 0.994}, {'word': 'buy', 'start': 1.118, 'end': 1.49}, {'word': 'and', 'start': 1.615, 'end': 1.987}, {'word': 'time', 'start': 2.111, 'end': 2.484}, {'word': 'to', 'start': 2.608, 'end': 2.981}, {'word': 'lose', 'start': 3.105, 'end': 3.477}, {'word': 'yourself', 'start': 3.602, 'end': 4.719}, {'word': 'within', 'start': 4.843, 'end': 5.34}, {'word': 'a', 'start': 5.588, 'end': 5.961}, {'word': 'morning', 'start': 6.085, 'end': 6.954}, {'word': 'star', 'start': 7.079, 'end': 7.824}]",0.0,0091064bdc72469ca7096d3a0db74562-19.wav
when you onlygot a hundredyears to live,135.726,140.694,"[{'word': 'when', 'start': 0.0, 'end': 0.249}, {'word': 'you', 'start': 0.373, 'end': 0.497}, {'word': 'onlygot', 'start': 0.621, 'end': 1.615}, {'word': 'a', 'start': 1.863, 'end': 2.236}, {'word': 'hundredyears', 'start': 2.36, 'end': 3.602}, {'word': 'to', 'start': 3.974, 'end': 4.223}, {'word': 'live', 'start': 4.347, 'end': 4.968}]",0.0,0091064bdc72469ca7096d3a0db74562-23.wav
just dreaming,168.386,170.498,"[{'word': 'just', 'start': 0.0, 'end': 0.373}, {'word': 'dreaming', 'start': 0.497, 'end': 2.112}]",0.0,0091064bdc72469ca7096d3a0db74562-32.wav
counting the ways to where you are,171.118,174.844,"[{'word': 'counting', 'start': 0.0, 'end': 0.497}, {'word': 'the', 'start': 0.621, 'end': 0.746}, {'word': 'ways', 'start': 0.746, 'end': 1.366}, {'word': 'to', 'start': 1.739, 'end': 1.863}, {'word': 'where', 'start': 1.987, 'end': 2.112}, {'word': 'you', 'start': 2.236, 'end': 2.608}, {'word': 'are', 'start': 2.732, 'end': 3.726}]",0.0,0091064bdc72469ca7096d3a0db74562-33.wav
