,word,start,end,prob,explicit
0,first,9.04,9.36,0.14575645327568054,0
1,off,9.36,9.68,0.9068688154220581,0
2,fuck,9.84,10.0,0.9419623613357544,1
3,elon,10.0,10.24,0.8260231018066406,0
4,musk,10.24,10.52,0.9867717623710632,0
5,8,10.62,10.78,0.8524528741836548,0
6,too,10.78,11.0,0.6945580244064331,0
7,much,11.0,11.24,0.999630331993103,0
8,bitch,11.34,11.44,0.610327959060669,1
9,thats,11.44,11.7,0.7354402244091034,0
10,expensive,11.7,12.16,0.9968036413192749,0
11,put,12.16,12.52,0.5531874299049377,0
12,a,12.52,12.62,0.78829425573349,0
13,hose,12.62,12.8,0.5859248638153076,0
14,in,12.8,12.94,0.9960518479347229,0
15,the,12.94,13.0,0.9880620241165161,0
16,back,13.0,13.16,0.9700259566307068,0
17,and,13.16,13.3,0.8188022971153259,0
18,a,13.3,13.36,0.8952294588088989,0
19,crack,13.36,13.52,0.9321017265319824,0
20,in,13.52,13.66,0.9254510998725891,0
21,the,13.66,13.72,0.9870915412902832,0
22,slack,13.72,13.92,0.9787986874580383,0
23,if,13.92,14.08,0.40728461742401123,0
24,i,14.08,14.1,0.9938380122184753,0
25,tweet,14.1,14.28,0.6143211126327515,0
26,and,14.28,14.42,0.9395658373832703,0
27,delete,14.42,14.64,0.9908096790313721,0
28,and,14.64,14.78,0.6816508173942566,0
29,i,14.78,14.92,0.9956113696098328,0
30,meant,14.92,15.1,0.48633643984794617,0
31,it,15.1,15.26,0.9959114789962769,0
32,i,15.26,15.6,0.8791694641113281,0
33,dont,15.6,15.68,0.9874795377254486,0
34,really,15.68,15.86,0.9928158521652222,0
35,need,15.86,15.96,0.9298521280288696,0
36,a,15.96,16.04,0.7307756543159485,0
37,check,16.04,16.18,0.9842706322669983,0
38,cause,16.18,16.34,0.5927421450614929,0
39,i,16.34,16.4,0.9894044399261475,0
40,got,16.4,16.52,0.9825443625450134,0
41,no,16.52,16.66,0.6250225901603699,0
42,respect,16.66,16.9,0.9941639304161072,0
43,and,16.9,17.08,0.580093264579773,0
44,these,17.08,17.2,0.9952174425125122,0
45,niggas,17.2,17.36,0.9852873484293619,1
46,might,17.36,17.5,0.9787785410881042,0
47,not,17.5,17.64,0.473784476518631,0
48,be,17.64,17.7,0.45415008068084717,0
49,like,17.7,17.84,0.9985051155090332,0
50,a,17.84,17.92,0.9980902075767517,0
51,dentist,17.92,18.18,0.9971453547477722,0
52,city,18.18,18.64,0.624660313129425,0
53,all,18.64,18.9,0.9944440722465515,0
54,about,18.9,19.18,0.9958782196044922,0
55,free,19.18,19.38,0.8199277520179749,0
56,speech,19.38,19.56,0.968163013458252,0
57,still,19.56,19.78,0.24608972668647766,0
58,he,19.78,19.84,0.6128174662590027,0
59,had,19.84,19.94,0.7521684169769287,0
60,some,19.94,20.12,0.9962238073348999,0
61,shit,20.12,20.32,0.9787459969520569,1
62,in,20.32,20.46,0.7230954766273499,0
63,his,20.46,20.52,0.5034108757972717,0
64,head,20.52,20.76,0.2313501089811325,0
65,and,20.76,20.86,0.31337079405784607,0
66,his,20.86,21.04,0.09686166048049927,0
67,fingers,21.04,21.26,0.8412705063819885,0
68,this,21.26,21.46,0.9022359251976013,0
69,aint,21.46,21.68,0.9897355735301971,0
70,what,21.68,21.9,0.9936347007751465,0
71,you,21.9,22.06,0.9939020872116089,0
72,want,22.06,22.42,0.9920536279678345,0
73,no,22.42,22.84,0.2995615601539612,0
74,this,23.08,23.1,0.9621440768241882,0
75,aint,23.1,23.24,0.9994259178638458,0
76,what,23.24,23.44,0.9990941286087036,0
77,you,23.44,23.62,0.9989929795265198,0
78,want,23.62,24.02,0.9979428648948669,0
79,fuck,24.94,25.26,0.47461459040641785,1
80,y,25.26,25.48,0.4859326183795929,0
81,all,25.48,25.52,0.9853300750255585,0
82,niggas,25.52,25.74,0.9207951426506042,1
83,i,25.84,25.88,0.9959210157394409,0
84,feel,25.88,26.06,0.9595851302146912,0
85,like,26.06,26.24,0.9995148181915283,0
86,papa,26.24,26.6,0.8269573450088501,0
87,john,26.6,27.02,0.83997642993927,0
88,left,27.02,27.6,0.011634040623903275,0
89,respect,27.6,28.0,0.551620364189148,0
90,to,28.0,28.36,0.9571424722671509,0
91,the,28.36,28.48,0.8860971331596375,0
92,bank,28.48,28.88,0.24251846969127655,0
93,im,29.26,29.4,0.9624512791633606,0
94,tony,29.4,29.62,0.9273720383644104,0
95,khan,29.62,30.04,0.3205231726169586,0
96,and,30.04,30.68,0.7244185209274292,0
97,they,30.68,30.82,0.7179486155509949,0
98,hate,30.82,31.08,0.9959577918052673,0
99,what,31.08,31.4,0.8427631258964539,0
100,i,31.4,31.56,0.9889034628868103,0
101,say,31.56,31.98,0.9948170781135559,0
102,cause,32.26,32.44,0.35943999886512756,0
103,i,32.44,32.62,0.9858143925666809,0
104,aint,32.62,32.8,0.9423700571060181,0
105,wrong,32.8,33.06,0.9709845185279846,0
106,what,34.06,34.42,0.2803669571876526,0
107,kind,34.42,34.62,0.810297966003418,0
108,of,34.62,34.7,0.9900464415550232,0
109,rabbit,34.7,34.9,0.7423928380012512,0
110,is,34.9,35.08,0.9459700584411621,0
111,this,35.08,35.24,0.8097435832023621,0
112,the,35.32,35.46,0.6648290157318115,0
113,kind,35.46,35.62,0.8239524364471436,0
114,of,35.62,35.72,0.9933286905288696,0
115,man,35.72,35.78,0.18801619112491608,0
116,rat,35.78,35.98,0.22952717542648315,0
117,niggas,35.98,36.16,0.9586464564005533,1
118,miss,36.16,36.32,0.2589639127254486,0
119,you,36.32,36.54,0.5963154435157776,0
120,know,36.54,36.76,0.9536594748497009,0
121,it,36.76,37.0,0.9964810609817505,0
122,i,37.0,37.44,0.8579837083816528,0
123,put,37.44,37.6,0.8435472249984741,0
124,a,37.6,37.68,0.6368598937988281,0
125,throw,37.68,37.86,0.1056489422917366,0
126,in,37.86,37.94,0.6595180630683899,0
127,my,37.94,38.06,0.9944524168968201,0
128,bitch,38.06,38.28,0.8917946815490723,1
129,gotta,38.38,38.42,0.5150271654129028,0
130,push,38.42,38.62,0.836121141910553,0
131,it,38.62,38.74,0.2332921028137207,0
132,in,38.74,38.88,0.16603240370750427,0
133,finna,38.88,39.04,0.3528588265180588,0
134,like,39.04,39.22,0.9714918732643127,0
135,bitch,39.22,39.36,0.13893544673919678,1
136,she,39.36,39.58,0.14573559165000916,0
137,know,39.58,39.8,0.9406827688217163,0
138,it,39.8,40.06,0.9979227185249329,0
139,you,40.06,40.38,0.9510856866836548,0
140,think,40.38,40.52,0.9850332140922546,0
141,its,40.52,40.64,0.9741031527519226,0
142,me,40.64,40.74,0.965364933013916,0
143,texting,40.74,40.94,0.7071655988693237,0
144,with,40.94,41.1,0.9699603319168091,0
145,kids,41.1,41.36,0.9789809584617615,0
146,it,41.52,41.52,0.7725701928138733,0
147,doesnt,41.52,41.72,0.7672511041164398,0
148,get,41.72,41.86,0.9868357181549072,0
149,stranger,41.86,42.08,0.8963422179222107,0
150,than,42.08,42.28,0.8716509342193604,0
151,this,42.28,42.46,0.9405485987663269,0
152,thats,42.46,42.66,0.5685809701681137,0
153,oh,42.66,42.84,0.41698524355888367,0
154,shit,42.84,43.08,0.9690694212913513,1
155,i,43.38,43.92,0.2745019495487213,0
156,dont,43.92,44.18,0.9390904009342194,0
157,fuck,44.18,44.34,0.27321740984916687,1
158,you,44.34,44.54,0.7836474180221558,0
159,niggas,44.54,44.8,0.7993111610412598,1
160,like,44.8,44.94,0.8996098041534424,0
161,im,44.94,45.18,0.720779538154602,0
162,unfugged,45.18,45.6,0.2727988213300705,0
163,wait,45.6,45.92,0.15706972777843475,0
164,i,46.4,46.76,0.4052533507347107,0
165,am,46.76,46.92,0.9600827693939209,0
166,me,46.92,47.1,0.8098640441894531,0
167,written,47.38,47.58,0.160740464925766,0
168,eyes,47.58,47.78,0.3849652111530304,0
169,with,47.78,47.9,0.9322408437728882,0
170,a,47.9,48.0,0.9025299549102783,0
171,shot,48.0,48.18,0.6639349460601807,0
172,of,48.18,48.26,0.35004228353500366,0
173,repeat,48.26,48.58,0.8635563254356384,0
174,while,48.58,49.0,0.5418012738227844,0
175,you,49.0,49.1,0.995830237865448,0
176,stretching,49.1,49.34,0.713076651096344,0
177,the,49.34,49.5,0.924736738204956,0
178,truth,49.5,49.7,0.9662321209907532,0
179,in,49.7,49.8,0.8867390155792236,0
180,your,49.8,49.88,0.9977255463600159,0
181,tweets,49.88,50.2,0.9862838983535767,0
182,ive,50.2,50.62,0.5457496792078018,0
183,been,50.62,50.72,0.9996374845504761,0
184,stretching,50.72,50.96,0.9952325224876404,0
185,it,50.96,51.14,0.33673322200775146,0
186,girl,51.14,51.34,0.727921724319458,0
187,i,51.44,51.56,0.8518294095993042,0
188,am,51.56,51.72,0.9796378016471863,0
189,she,51.72,51.9,0.8070929050445557,0
190,once,52.46,52.82,0.2577161490917206,0
191,a,52.82,53.0,0.6862440705299377,0
192,deets,53.0,53.34,0.6906190514564514,0
193,in,53.58,53.66,0.9923231601715088,0
194,the,53.66,53.76,0.9034326672554016,0
195,crib,53.76,53.94,0.9145733118057251,0
196,you,53.98,54.04,0.7771860957145691,0
197,get,54.04,54.16,0.3111472427845001,0
198,so,54.16,54.28,0.4352481961250305,0
199,under,54.28,54.38,0.23985427618026733,0
200,for,54.38,54.52,0.9897055625915527,0
201,weeks,54.52,54.82,0.999122679233551,0
202,watch,54.82,55.2,0.9854956269264221,0
203,your,55.2,55.32,0.9927692413330078,0
