word,start,end,prob,explicit
you,18.780000000000005,19.380000000000003,0.02606896124780178,0
know,19.380000000000003,19.98,0.59931880235672,0
whos,19.98,21.2,0.8571922183036804,0
back,21.2,21.36,0.9262145161628723,0
up,21.36,21.62,0.9615128040313721,0
in,21.62,21.78,0.9732339382171631,0
this,21.78,22.08,0.9195736050605774,0
motherfucker,22.08,22.86,0.7222570776939392,1
so,24.380000000000003,24.98,0.178428053855896,0
break,24.98,25.24,0.6455445885658264,0
the,25.24,25.56,0.9560996294021606,0
weed,25.56,25.74,0.88861083984375,0
up,25.74,26.04,0.595223069190979,0
there,26.04,26.48,0.6204988360404968,0
break,26.5,26.5,0.4387938976287842,0
that,26.5,27.36,0.9755658507347107,0
shit,27.36,27.58,0.9248527884483337,1
up,27.58,27.8,0.9839036464691162,0
nigga,27.8,28.3,0.7721303105354309,1
yeah,28.66,28.9,0.6934199929237366,0
suck,29.16,29.42,0.7650749683380127,0
snoop,29.42,29.9,0.5894132852554321,0
suck,29.9,29.98,0.7019972205162048,0
snoop,29.98,29.98,0.9391025602817535,0
suck,29.98,29.98,0.252895325422287,0
snoop,29.98,29.98,0.9835544228553772,0
top,29.98,30.34,0.25342151522636414,0
dog,30.34,30.64,0.22242915630340576,0
bottom,30.78,30.98,0.23492424190044403,0
off,30.98,31.28,0.29461681842803955,0
nigga,31.38,31.5,0.8997286260128021,1
burn,31.5,31.72,0.6294035315513611,0
this,31.72,31.96,0.5587698817253113,0
shit,31.96,32.08,0.9952179789543152,1
up,32.08,32.54,0.9956778883934021,0
dp,32.68,33.02,0.4364231824874878,0
gc,33.26,33.58,0.787087082862854,0
my,33.76,33.8,0.9870378971099854,0
nigga,33.8,34.04,0.9907331168651581,1
turn,34.04,34.24,0.9040730595588684,0
that,34.24,34.42,0.9676638245582581,0
shit,34.42,34.58,0.9980999827384949,1
up,34.58,34.9,0.9976258873939514,0
cpt,35.14,35.54,0.9439087510108948,0
lvc,35.82,36.16,0.5136972293257713,0
yeah,36.42,36.46,0.9100252985954285,0
we,36.46,36.62,0.7514152526855469,0
hooking,36.62,36.9,0.7174094021320343,0
back,36.9,37.06,0.9797429442405701,0
up,37.06,37.3,0.9983471632003784,0
and,37.48,37.56,0.9404464364051819,0
when,37.56,37.72,0.99302738904953,0
they,37.72,37.86,0.9928077459335327,0
banged,37.86,38.06,0.752223551273346,0
us,38.06,38.22,0.987312376499176,0
in,38.22,38.36,0.9908018708229065,0
the,38.36,38.46,0.9744287729263306,0
club,38.46,38.62,0.9979991316795349,0
baby,38.72,38.9,0.9373071193695068,0
you,38.9,39.12,0.817132294178009,0
got,39.12,39.26,0.8821035623550415,0
to,39.26,39.42,0.9826100468635559,0
get,39.42,39.62,0.9877712726593018,0
up,39.62,39.88,0.9838727116584778,0
love,40.14,40.36,0.2544029951095581,0
niggers,40.36,40.64,0.599261924624443,0
drug,40.8,40.96,0.9935218691825867,0
dealers,40.96,41.22,0.985917866230011,0
yeah,41.32,41.46,0.9756225943565369,0
they,41.46,41.64,0.9341214895248413,0
giving,41.64,41.88,0.8617783188819885,0
it,41.88,42.1,0.9920696020126343,0
up,42.1,42.36,0.9977549910545349,0
low,42.62,42.82,0.9043736457824707,0
life,42.82,43.12,0.9468281865119934,0
yo,43.3,43.42,0.6820382475852966,0
life,43.42,43.72,0.6358709335327148,0
boy,43.84,43.96,0.9061907529830933,0
we,43.96,44.16,0.9587444067001343,0
living,44.16,44.36,0.9287604689598083,0
it,44.36,44.62,0.9953267574310303,0
up,44.62,44.88,0.9994939565658569,0
taking,45.1,45.34,0.7342255115509033,0
chances,45.34,45.6,0.7608006596565247,0
while,45.6,45.86,0.9005885124206543,0
we,45.86,46.06,0.9918569326400757,0
dancing,46.06,46.3,0.917483925819397,0
in,46.3,46.54,0.8723267316818237,0
the,46.54,46.64,0.9194381237030029,0
party,46.64,46.9,0.9942283630371094,0
for,46.9,47.1,0.7105987071990967,0
sure,47.1,47.38,0.9199962615966797,0
slipped,47.58,47.78,0.6031386703252792,0
my,47.78,47.96,0.9862914681434631,0
hoe,47.96,48.08,0.803348958492279,0
with,48.08,48.26,0.6944962739944458,0
44,48.26,48.62,0.44944125413894653,0
when,48.62,48.84,0.5881754159927368,0
she,48.84,49.0,0.9951453804969788,0
got,49.0,49.18,0.9879851937294006,0
in,49.18,49.36,0.9850516319274902,0
the,49.36,49.48,0.9797472953796387,0
back,49.48,49.68,0.9360242486000061,0
door,49.68,49.88,0.9925326704978943,0
bitches,50.24,50.4,0.9420837759971619,1
looking,50.4,50.68,0.9147970080375671,0
at,50.68,50.9,0.9935274720191956,0
me,50.9,51.02,0.9926920533180237,0
strange,51.02,51.36,0.9002272486686707,0
but,51.36,51.56,0.48490482568740845,0
you,51.56,51.7,0.9948306679725647,0
know,51.7,51.86,0.9971103072166443,0
i,51.86,52.0,0.9586645364761353,0
dont,52.0,52.18,0.9961499571800232,0
care,52.18,52.4,0.9995208978652954,0
step,52.66,52.82,0.9906677603721619,0
up,52.82,52.98,0.9928792119026184,0
in,52.98,53.14,0.9931381344795227,0
this,53.14,53.32,0.9889434576034546,0
motherfucker,53.32,53.8,0.9117537538210551,1
just,53.8,54.04,0.7863443493843079,0
