word,start,end,prob,explicit
regulators,4.120000000000003,4.6,0.7661638855934143,0
we,5.32,5.48,0.9022937417030334,0
regulate,5.48,5.8,0.9910069108009338,0
any,5.8,6.1,0.9833658337593079,0
stealing,6.1,6.48,0.8784052133560181,0
of,6.48,6.72,0.9731845855712891,0
his,6.72,6.92,0.9765928983688354,0
property,6.92,7.34,0.9951753616333008,0
were,7.52,7.74,0.9717912375926971,0
damn,7.74,8.04,0.9630154371261597,0
good,8.04,8.36,0.9968944787979126,0
too,8.36,8.72,0.7511956691741943,0
but,9.14,9.42,0.9919018149375916,0
you,9.42,9.54,0.9969661831855774,0
cant,9.54,9.8,0.9977433681488037,0
be,9.8,9.92,0.9988076686859131,0
any,9.92,10.12,0.9956355690956116,0
geek,10.12,10.44,0.9887531995773315,0
off,10.44,10.76,0.9931871891021729,0
the,10.76,10.96,0.9976645708084106,0
street,10.96,11.32,0.9941031336784363,0
gotta,12.16,12.36,0.859232097864151,0
be,12.36,12.52,0.9976449608802795,0
handy,12.52,12.78,0.9947593808174133,0
with,12.78,12.96,0.9983083009719849,0
the,12.96,13.12,0.9948030114173889,0
steal,13.12,13.34,0.4618125855922699,0
if,13.34,13.52,0.7037243247032166,0
you,13.52,13.62,0.9670720100402832,0
know,13.62,13.74,0.9858065843582153,0
what,13.74,13.84,0.9869066476821899,0
i,13.84,13.92,0.9586695432662964,0
mean,13.92,14.02,0.997643768787384,0
earn,14.16,14.2,0.8563140034675598,0
your,14.2,14.36,0.9226628541946411,0
keep,14.36,14.7,0.8709439635276794,0
regulators,16.620000000000005,17.1,0.9198141396045685,0
mauna,18.680000000000003,19.16,0.2275933027267456,0
it,19.96,19.96,0.4364575743675232,0
was,19.96,20.2,0.997994065284729,0
a,20.2,20.38,0.9938934445381165,0
clear,20.38,20.6,0.9966940879821777,0
black,20.6,20.88,0.8582237958908081,0
night,20.88,21.26,0.9537595510482788,0
a,21.46,21.6,0.9579936265945435,0
clear,21.6,21.8,0.9973887801170349,0
white,21.8,22.1,0.9869295358657837,0
moon,22.1,22.46,0.9627927541732788,0
warren,22.46,22.76,0.5446004271507263,0
g,22.76,22.96,0.9718132019042969,0
was,22.96,23.12,0.8145298957824707,0
on,23.12,23.32,0.9963204860687256,0
the,23.32,23.52,0.9988278746604919,0
streets,23.52,23.82,0.9716047644615173,0
trying,23.82,24.28,0.6097798943519592,0
to,24.28,24.52,0.9973438382148743,0
consume,24.52,25.04,0.9973723888397217,0
some,25.04,25.36,0.9004437923431396,0
skurts,25.36,25.64,0.39535238842169446,0
for,25.64,25.84,0.9885039925575256,0
the,25.84,26.06,0.9855945110321045,0
e,26.06,26.22,0.27517372369766235,0
so,26.22,26.56,0.4690609872341156,0
i,26.56,26.78,0.9523787498474121,0
could,26.78,26.94,0.9484084248542786,0
get,26.94,27.1,0.9970013499259949,0
some,27.1,27.34,0.9984475374221802,0
phones,27.34,27.78,0.013302656821906567,0
